Event Objective,Objective Status,Topic,# of events this topic is in (from Topic),Discipline / Role (from Topic),Curriculum Event,23-24 Event,Course Name (from Curriculum Event) (from Topic),Event Date
Describe the importance of enterohepatic recycling to excretion and drug action. (EO-3309),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
Differentiate between drug excretion and elimination. (EO-3307),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
Determine the effect of urine pH on urinary excretion. (EO-3313),Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
"Discuss the correlation of serum concentration, concentration at the site of action and clinical. (EO-3320)",Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
"Solve PK problems (and interpret blood level curves) for the clinically relevant pK parameters: F, ka, ke, Vd, clearance, loading dose, Maintenance Dose, Half-life (t1/2), Steady State, dosing interval Tau (τ), AUC, Cmax and Tmax. (EO-3317)",Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
"Define pharmacokinetics (PK) and apply the General Principles of absorption, distribution, metabolism and excretion of drugs. (EO-3316)",Active,Intro to Pharmacokinetics; Excretion; and Elimination (TO-0670),1,Pharmacology,M1 BSci Leah Smith Team-building Circles,M1 BSci Lyme Disease (Leah Smith),M1-02 Host Defense & Host Response (RMD-561),2023-09-22 08:30
List the difference between primary; secondary tertiary and quaternary prevention. (EO-4529),Active,Intro to Population Health (TO-0861),1,Advocate,M1 ADVO Intro to Population Health,M1 ADVO Intro to Population Health,M1-02 Host Defense & Host Response (RMD-561),2023-09-05 13:00
Define population health. (EO-4531),Active,Intro to Population Health (TO-0861),1,Advocate,M1 ADVO Intro to Population Health,M1 ADVO Intro to Population Health,M1-02 Host Defense & Host Response (RMD-561),2023-09-05 13:00
Describe tools (e.g.; policies; technologies; and personnel) to improve population health. (EO-4526),Active,Intro to Population Health (TO-0861),1,Advocate,M1 ADVO Intro to Population Health,M1 ADVO Intro to Population Health,M1-02 Host Defense & Host Response (RMD-561),2023-09-05 13:00
Compare and contrast population health; public health and population medicine. (EO-4525),Active,Intro to Population Health (TO-0861),1,Advocate,M1 ADVO Intro to Population Health,M1 ADVO Intro to Population Health,M1-02 Host Defense & Host Response (RMD-561),2023-09-05 13:00
Explain importance of understanding population health to understand issues in US Healthcare system. (EO-4528),Active,Intro to Population Health (TO-0861),1,Advocate,M1 ADVO Intro to Population Health,M1 ADVO Intro to Population Health,M1-02 Host Defense & Host Response (RMD-561),2023-09-05 13:00
Define public health. (EO-4530),Active,Intro to Population Health (TO-0861),1,Advocate,M1 ADVO Intro to Population Health,M1 ADVO Intro to Population Health,M1-02 Host Defense & Host Response (RMD-561),2023-09-05 13:00
Explain how to properly report selected conditions in the public health system. (EO-4527),Active,Intro to Population Health (TO-0861),1,Advocate,M1 ADVO Intro to Population Health,M1 ADVO Intro to Population Health,M1-02 Host Defense & Host Response (RMD-561),2023-09-05 13:00
Identify the components of an H&P. (EO-7553),Active,Intro to Practitioner (TO-6693),1,Practitioner,M1 PRAC Intro Clinical Reasoning-Lecture,M1 PRAC Intro Clinical Reasoning-Lecture,M1-01 Foundation of Medical Practice (RMD-560),2023-08-31 09:00
Define the Practitioner Role at Rush Medical Collage (EO-7552),Active,Intro to Practitioner (TO-6693),1,Practitioner,M1 PRAC Intro Clinical Reasoning-Lecture,M1 PRAC Intro Clinical Reasoning-Lecture,M1-01 Foundation of Medical Practice (RMD-560),2023-08-31 09:00
Define the professional expectations of a medical student. (EO-5024),Active,Intro to Professionalism and Professional Identity (TO-1002) in M1 PROF Professional Identity Development and Behavior,1,Professional,,M1 PROF Professional Identity Development and Behavior,M1-01 Foundation of Medical Practice (RMD-560),2023-08-28 13:00
Recognize the importance of professional behavior in the developing medical professional. (EO-5743),Active,Intro to Professionalism and Professional Identity (TO-1002) in M1 PROF Professional Identity Development and Behavior,1,Professional,,M1 PROF Professional Identity Development and Behavior,M1-01 Foundation of Medical Practice (RMD-560),2023-08-28 13:00
Define Professional Identity. (EO-5022),Active,Intro to Professionalism and Professional Identity (TO-1002) in M1 PROF Professional Identity Development and Behavior,1,Professional,,M1 PROF Professional Identity Development and Behavior,M1-01 Foundation of Medical Practice (RMD-560),2023-08-28 13:00
List common unrecognized professionalism pitfalls and challenges. (EO-5023),Active,Intro to Professionalism and Professional Identity (TO-1002) in M1 PROF Professional Identity Development and Behavior,1,Professional,,M1 PROF Professional Identity Development and Behavior,M1-01 Foundation of Medical Practice (RMD-560),2023-08-28 13:00
List common unrecognized professionalism pitfalls and challenges. (EO-5023),Active,Intro to Professionalism and Professional Identity (TO-1002) in M1 PROF Professional Identity Development and Behavior - Lecture- L-,1,Professional,,M1 PROF Professional Identity Development and Behavior - Lecture- L-,M1-01 Foundation of Medical Practice (RMD-560),2023-08-28 10:30
Define Professional Identity. (EO-5022),Active,Intro to Professionalism and Professional Identity (TO-1002) in M1 PROF Professional Identity Development and Behavior - Lecture- L-,1,Professional,,M1 PROF Professional Identity Development and Behavior - Lecture- L-,M1-01 Foundation of Medical Practice (RMD-560),2023-08-28 10:30
Define the professional expectations of a medical student. (EO-5024),Active,Intro to Professionalism and Professional Identity (TO-1002) in M1 PROF Professional Identity Development and Behavior - Lecture- L-,1,Professional,,M1 PROF Professional Identity Development and Behavior - Lecture- L-,M1-01 Foundation of Medical Practice (RMD-560),2023-08-28 10:30
Recognize the importance of professional behavior in the developing medical professional. (EO-5743),Active,Intro to Professionalism and Professional Identity (TO-1002) in M1 PROF Professional Identity Development and Behavior - Lecture- L-,1,Professional,,M1 PROF Professional Identity Development and Behavior - Lecture- L-,M1-01 Foundation of Medical Practice (RMD-560),2023-08-28 10:30
Describe the use of pulmonary function tests in the categorization of obstructive and restrictive lung disease. (EO-7199),Active,Intro to Pulmonary Function Testing (TO-6589),1,Pathophysiology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Describe the components of pulmonary function tests. (EO-7198),Active,Intro to Pulmonary Function Testing (TO-6589),1,Pathophysiology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Describe how pulmonary function testing is used to differentiate between obstructive and restrictive lung disease.  (EO-9077),Active,Intro to Pulmonary Function Testing (TO-6589),1,Pathophysiology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Discuss the place in the therapy for agents utilized in the management of CKD-BMD. (EO-10002),Active,Intro to Renal Bone Disease (TO-7071),1,Pharmacology,M1 BSci George Baker,M1 BSci Chronic Kidney Disease (George Baker),M1-03 Vital Fluids (RMD-574),2023-12-07 08:30
Compare and contrast the toxicity profiles of phosphate binding agents in CKD. (EO-10003),Active,Intro to Renal Bone Disease (TO-7071),1,Pharmacology,M1 BSci George Baker,M1 BSci Chronic Kidney Disease (George Baker),M1-03 Vital Fluids (RMD-574),2023-12-07 08:30
"Describe the pathophysiological target in the pathogenesis of CKD-BMD of phosphate binders, Vitamin D supplements and analogs, and calcimimetics. (EO-10001)",Active,Intro to Renal Bone Disease (TO-7071),1,Pharmacology,M1 BSci George Baker,M1 BSci Chronic Kidney Disease (George Baker),M1-03 Vital Fluids (RMD-574),2023-12-07 08:30
"Discuss the mechanism of action and associated clinical effects of phosphate binders, Vitamin D and analogs, and calcimimetics in the management of CKD-BMD. (EO-10004)",Active,Intro to Renal Bone Disease (TO-7071),1,Pharmacology,M1 BSci George Baker,M1 BSci Chronic Kidney Disease (George Baker),M1-03 Vital Fluids (RMD-574),2023-12-07 08:30
List the basic functions of the kidney. (EO-3952),Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
"Compare and contrast the basic renal processes of glomerular filtration, tubular reabsorption and tubular secretion. (EO-3960)",Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
Describe the general structure of the kidney and its circulation. (EO-3953),Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
Describe the basic configuration and function of the juxtaglomerular apparatus. (EO-3959),Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
List the 3 layers of the filtration barrier and the different types of cells associated with the renal corpuscle. (EO-3955),Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
Draw and label the tubular segments which make up the nephron (in order). (EO-3956),Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
"Explain possible consequences to a patient’s overall homeostatic state if one of the basic renal processes (filtration, reabsorption or secretion) for a particular substance fails. (EO-3961)",Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
"List differences between cortical and juxtamedullary nephrons, including differences in their peritubular capillary networks. (EO-3958)",Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
"Describe the structure-function of the renal corpuscle, glomerulus and Bowman’s capsule. (EO-3954)",Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
Describe the blood flow to/from the glomerular capillaries. (EO-3957),Active,Intro to Renal Physiology (TO-0776),1,Physiology,M1 BSci Mark Ryfield,M1 BSci Pre-Renal Dehydration (Mark Ryfield),M1-03 Vital Fluids (RMD-574),2023-11-30 08:30
Define shock. (EO-2781),Active,Intro to Shock (TO-0546),1,Pathophysiology,M1 BSci Matthew Jones Team Building Circles,M1 BSci Pneumothorax Team Building Circles (Matthew Jones),M1-04 Vital Gases (RMD-575),2024-01-04 08:30
"Define distributive, hypovolemic, cardiogenic, and obstructive. (EO-7173)",Active,Intro to Shock (TO-0546),1,Pathophysiology,M1 BSci Matthew Jones Team Building Circles,M1 BSci Pneumothorax Team Building Circles (Matthew Jones),M1-04 Vital Gases (RMD-575),2024-01-04 08:30
Identity the layers of the skin and list their structural features. (EO-7140),Active,Intro to Skin Layers (TO-6570) in M1 HISTO Histology Lab: Epithelium,1,Histology,,M1 HISTO Histology Lab: Epithelium,M1-02 Host Defense & Host Response (RMD-561),2023-09-08 08:00
Identity the layers of the skin and list their structural features. (EO-7140),Active,Intro to Skin Layers (TO-6570) in M1 HISTO Histology Lab: Epithelium,1,Histology,,M1 HISTO Histology Lab: Epithelium,M1-02 Host Defense & Host Response (RMD-561),2023-09-08 08:00
Identity the layers of the skin and list their structural features. (EO-7140),Active,Intro to Skin Layers (TO-6570) in M1 HISTO Histology Lab: Peripheral Blood,1,Histology,,M1 HISTO Histology Lab: Peripheral Blood,M1-02 Host Defense & Host Response (RMD-561),2023-09-06 08:00
Identity the layers of the skin and list their structural features. (EO-7140),Active,Intro to Skin Layers (TO-6570) in M1 HISTO Histology Lab: Peripheral Blood,1,Histology,,M1 HISTO Histology Lab: Peripheral Blood,M1-02 Host Defense & Host Response (RMD-561),2023-09-06 08:00
"Describe the post-infectious sequelae associated with group A Streptococcus (non-suppurative): rheumatic fever, scarlet fever, and streptococcal glomerulonephritis. (EO-1550)",Active,Intro to Streptococcus & Streptococcus Pyogenes (TO-0341),1,Microbiology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
"Describe the role in disease of the extracellular group A streptococcal products: Streptolysin O, Streptokinase, Streptodornase, Hyaluronidase, C5a peptidase, and the Streptococcal pyrogenic exotoxins (SPEs). (EO-1548)",Active,Intro to Streptococcus & Streptococcus Pyogenes (TO-0341),1,Microbiology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
"Name and describe the 6 Suppurative Diseases caused by Group A Streptococci: Pharyngitis, Pyoderma, Erysipelas, Cellulitis, Necrotizing Fasciitis, and Streptococcal Toxic Shock Syndrome. (EO-1549)",Active,Intro to Streptococcus & Streptococcus Pyogenes (TO-0341),1,Microbiology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
"Identify the significance of the hyaluronic acid, M protein, and lipoteichoic acid in the cell membrane of Group A streptococci with regard to classification, antigenicity, and role in disease. (EO-1547)",Active,Intro to Streptococcus & Streptococcus Pyogenes (TO-0341),1,Microbiology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
Evaluate the differences between images of cellulitis and impetigo. (EO-7154),Active,Intro to Streptococcus & Streptococcus Pyogenes (TO-0341),1,Microbiology,M1 BSci Jamie Lopez,M1 BSci Team Building Circles & Cellulitis (Jamie Lopez),M1-02 Host Defense & Host Response (RMD-561),2023-09-07 08:00
Describe how to use an ophthalmoscope (EO-7508),Active,Intro To The Ophthalmoscope (TO-6685),1,Practitioner,,M1 PRAC Physical Exam: Ophthalmology Clinic,M1-07 Brain Behavior and Cognition (RMD-565),2024-06-05 14:45
List the components of an ophthalmoscope (EO-7506),Active,Intro To The Ophthalmoscope (TO-6685),1,Practitioner,,M1 PRAC Physical Exam: Ophthalmology Clinic,M1-07 Brain Behavior and Cognition (RMD-565),2024-06-05 14:45
Describe the purpose of an ophthalmoscope (EO-7507),Active,Intro To The Ophthalmoscope (TO-6685),1,Practitioner,,M1 PRAC Physical Exam: Ophthalmology Clinic,M1-07 Brain Behavior and Cognition (RMD-565),2024-06-05 14:45
Identify pitfalls in using an ophthalmoscope (EO-7509),Active,Intro To The Ophthalmoscope (TO-6685),1,Practitioner,,M1 PRAC Physical Exam: Ophthalmology Clinic,M1-07 Brain Behavior and Cognition (RMD-565),2024-06-05 14:45
Discuss normal and abnormal findings that can be seen using an ophthalmoscope (EO-7510),Active,Intro To The Ophthalmoscope (TO-6685),1,Practitioner,,M1 PRAC Physical Exam: Ophthalmology Clinic,M1-07 Brain Behavior and Cognition (RMD-565),2024-06-05 14:45
Discuss normal and abnormal findings that can be seen using an ophthalmoscope (EO-7510),Active,Intro To The Ophthalmoscope (TO-6685),1,Practitioner,,M1 PRAC Physical Exam: Ophthalmology Clinic,M1-07 Brain Behavior and Cognition (RMD-565),2024-06-05 14:45
Identify pitfalls in using an ophthalmoscope (EO-7509),Active,Intro To The Ophthalmoscope (TO-6685),1,Practitioner,,M1 PRAC Physical Exam: Ophthalmology Clinic,M1-07 Brain Behavior and Cognition (RMD-565),2024-06-05 14:45
